抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
2004-04-14,"[0, 5, 9]","[5, 6, 3]",1,はずれ,3.1738,BaseModel,予測3
2004-04-14,"[1, 2, 4]","[5, 6, 3]",0,はずれ,3.1598,BaseModel,予測4
2004-04-14,"[1, 4, 5]","[5, 6, 3]",1,はずれ,3.0639,BaseModel,予測5
2004-04-16,"[0, 2, 8]","[9, 0, 0]",1,はずれ,3.1892,BaseModel,予測1
2004-04-16,"[1, 2, 9]","[9, 0, 0]",1,はずれ,3.2676,BaseModel,予測2
2004-04-16,"[0, 1, 2]","[9, 0, 0]",1,はずれ,3.2025,BaseModel,予測3
2004-04-16,"[1, 2, 4]","[9, 0, 0]",0,はずれ,3.1423,BaseModel,予測4
2004-04-16,"[4, 6, 7]","[9, 0, 0]",0,はずれ,2.975,BaseModel,予測5
2004-04-19,"[4, 5, 7]","[7, 3, 3]",1,はずれ,3.0324,BaseModel,予測1
2004-04-19,"[1, 2, 3]","[7, 3, 3]",1,はずれ,3.2396,BaseModel,予測2
2004-04-19,"[1, 3, 9]","[7, 3, 3]",1,はずれ,3.22,BaseModel,予測3
2004-04-19,"[0, 1, 2]","[7, 3, 3]",0,はずれ,3.1724,BaseModel,予測4
2004-04-19,"[1, 3, 8]","[7, 3, 3]",1,はずれ,3.1556,BaseModel,予測5
2004-04-21,"[0, 5, 8]","[3, 7, 4]",0,はずれ,3.1171,BaseModel,予測1
2004-04-21,"[3, 4, 7]","[3, 7, 4]",3,ボックス,3.3845,BaseModel,予測2
2004-04-21,"[6, 8, 9]","[3, 7, 4]",0,はずれ,3.1745,BaseModel,予測3
2004-04-21,"[1, 2, 8]","[3, 7, 4]",0,はずれ,3.1696,BaseModel,予測4
2004-04-21,"[0, 6, 8]","[3, 7, 4]",0,はずれ,3.0765,BaseModel,予測5
2004-04-23,"[0, 1, 5]","[8, 4, 2]",0,はずれ,3.0961,BaseModel,予測1
2004-04-23,"[2, 4, 8]","[8, 4, 2]",3,ボックス,3.4944,BaseModel,予測2
2004-04-23,"[2, 8, 9]","[8, 4, 2]",2,はずれ,3.2914,BaseModel,予測3
2004-04-23,"[1, 8, 9]","[8, 4, 2]",1,はずれ,3.2214,BaseModel,予測4
2004-04-23,"[3, 5, 9]","[8, 4, 2]",0,はずれ,3.22,BaseModel,予測5
2004-04-26,"[0, 3, 9]","[9, 2, 2]",1,はずれ,3.2508,BaseModel,予測1
2004-04-26,"[2, 2, 9]","[9, 2, 2]",2,ボックス,3.6715,BaseModel,予測2
2004-04-26,"[3, 4, 9]","[9, 2, 2]",1,はずれ,3.2242,BaseModel,予測3
2004-04-26,"[0, 1, 2]","[9, 2, 2]",1,はずれ,3.1745,BaseModel,予測4
2004-04-26,"[1, 2, 6]","[9, 2, 2]",1,はずれ,3.1045,BaseModel,予測5
2004-04-28,"[0, 1, 5]","[7, 6, 4]",0,はずれ,3.0961,BaseModel,予測1
2004-04-28,"[4, 6, 7]","[7, 6, 4]",3,ボックス,3.2935,BaseModel,予測2
2004-04-28,"[1, 4, 9]","[7, 6, 4]",1,はずれ,3.1822,BaseModel,予測3
2004-04-28,"[0, 1, 2]","[7, 6, 4]",0,はずれ,3.1787,BaseModel,予測4
2004-04-28,"[4, 6, 8]","[7, 6, 4]",2,はずれ,3.0702,BaseModel,予測5
2004-04-30,"[0, 3, 9]","[6, 7, 1]",0,はずれ,3.2529,BaseModel,予測1
2004-04-30,"[1, 6, 7]","[6, 7, 1]",3,ボックス,3.3005,BaseModel,予測2
2004-04-30,"[2, 8, 9]","[6, 7, 1]",0,はずれ,3.2837,BaseModel,予測3
2004-04-30,"[1, 3, 9]","[6, 7, 1]",1,はずれ,3.2466,BaseModel,予測4
2004-04-30,"[0, 1, 2]","[6, 7, 1]",1,はずれ,3.2137,BaseModel,予測5
2004-05-03,"[0, 2, 3]","[6, 5, 3]",1,はずれ,3.2235,BaseModel,予測1
2004-05-03,"[3, 5, 6]","[6, 5, 3]",3,ボックス,3.3936,BaseModel,予測2
2004-05-03,"[3, 4, 9]","[6, 5, 3]",1,はずれ,3.2466,BaseModel,予測3
2004-05-03,"[1, 3, 9]","[6, 5, 3]",1,はずれ,3.2305,BaseModel,予測4
2004-05-03,"[4, 5, 9]","[6, 5, 3]",1,はずれ,3.1955,BaseModel,予測5
2004-05-05,"[0, 2, 8]","[7, 5, 8]",1,はずれ,3.2018,BaseModel,予測1
2004-05-05,"[5, 7, 8]","[7, 5, 8]",3,ボックス,3.3733,BaseModel,予測2
2004-05-05,"[2, 8, 9]","[7, 5, 8]",1,はずれ,3.3019,BaseModel,予測3
2004-05-05,"[1, 2, 9]","[7, 5, 8]",0,はずれ,3.2627,BaseModel,予測4
2004-05-05,"[0, 1, 2]","[7, 5, 8]",0,はずれ,3.2158,BaseModel,予測5
2004-05-07,"[4, 6, 9]","[9, 5, 3]",1,はずれ,3.1619,BaseModel,予測1
2004-05-07,"[3, 5, 9]","[9, 5, 3]",3,ボックス,3.5644,BaseModel,予測2
2004-05-07,"[0, 1, 2]","[9, 5, 3]",0,はずれ,3.2158,BaseModel,予測3
2004-05-07,"[0, 1, 9]","[9, 5, 3]",1,はずれ,3.2102,BaseModel,予測4
2004-05-07,"[1, 4, 8]","[9, 5, 3]",0,はずれ,3.1066,BaseModel,予測5
2004-05-10,"[0, 6, 8]","[7, 3, 7]",0,はずれ,3.087,BaseModel,予測1
2004-05-10,"[1, 3, 9]","[7, 3, 7]",1,はずれ,3.2375,BaseModel,予測2
2004-05-10,"[2, 3, 8]","[7, 3, 7]",1,はずれ,3.2284,BaseModel,予測3
2004-05-10,"[2, 4, 7]","[7, 3, 7]",1,はずれ,3.1318,BaseModel,予測4
2004-05-10,"[1, 7, 8]","[7, 3, 7]",1,はずれ,3.0828,BaseModel,予測5
2004-05-12,"[1, 5, 6]","[3, 0, 8]",0,はずれ,3.0576,BaseModel,予測1
2004-05-12,"[0, 3, 8]","[3, 0, 8]",3,ボックス,3.4895,BaseModel,予測2
2004-05-12,"[2, 3, 9]","[3, 0, 8]",1,はずれ,3.3131,BaseModel,予測3
2004-05-12,"[2, 8, 9]","[3, 0, 8]",1,はずれ,3.2879,BaseModel,予測4
2004-05-12,"[5, 8, 9]","[3, 0, 8]",1,はずれ,3.2116,BaseModel,予測5
2004-05-14,"[2, 5, 6]","[5, 6, 7]",2,はずれ,3.1318,BaseModel,予測1
2004-05-14,"[1, 2, 9]","[5, 6, 7]",0,はずれ,3.3187,BaseModel,予測2
2004-05-14,"[2, 5, 9]","[5, 6, 7]",1,はずれ,3.2809,BaseModel,予測3
2004-05-14,"[2, 4, 5]","[5, 6, 7]",1,はずれ,3.1724,BaseModel,予測4
2004-05-17,"[0, 2, 3]","[4, 5, 2]",1,はずれ,3.234,BaseModel,予測1
2004-05-17,"[0, 1, 2]","[4, 5, 2]",1,はずれ,3.2179,BaseModel,予測2
2004-05-17,"[0, 2, 8]","[4, 5, 2]",1,はずれ,3.2081,BaseModel,予測3
2004-05-17,"[3, 4, 8]","[4, 5, 2]",1,はずれ,3.1766,BaseModel,予測4
2004-05-17,"[0, 3, 5]","[4, 5, 2]",1,はずれ,3.1423,BaseModel,予測5
2004-05-19,"[3, 6, 9]","[4, 9, 0]",1,はずれ,3.2193,BaseModel,予測1
2004-05-19,"[0, 4, 9]","[4, 9, 0]",3,ボックス,3.5294,BaseModel,予測2
2004-05-19,"[0, 3, 8]","[4, 9, 0]",1,はずれ,3.22,BaseModel,予測3
2004-05-19,"[0, 1, 9]","[4, 9, 0]",2,はずれ,3.2144,BaseModel,予測4
2004-05-19,"[2, 4, 8]","[4, 9, 0]",1,はずれ,3.1864,BaseModel,予測5
2004-05-21,"[3, 5, 8]","[7, 8, 4]",1,はずれ,3.1808,BaseModel,予測1
2004-05-21,"[4, 7, 8]","[7, 8, 4]",3,ボックス,3.3964,BaseModel,予測2
2004-05-21,"[1, 2, 8]","[7, 8, 4]",1,はずれ,3.2039,BaseModel,予測3
2004-05-21,"[7, 8, 9]","[7, 8, 4]",2,はずれ,3.1822,BaseModel,予測4
2004-05-21,"[0, 2, 5]","[7, 8, 4]",0,はずれ,3.1717,BaseModel,予測5
2004-05-24,"[0, 5, 9]","[3, 0, 2]",1,はずれ,3.2214,BaseModel,予測1
2004-05-24,"[0, 2, 3]","[3, 0, 2]",3,ボックス,3.2739,BaseModel,予測2
2004-05-24,"[0, 1, 2]","[3, 0, 2]",2,はずれ,3.1871,BaseModel,予測3
2004-05-24,"[5, 6, 9]","[3, 0, 2]",0,はずれ,3.1724,BaseModel,予測4
2004-05-24,"[2, 4, 6]","[3, 0, 2]",1,はずれ,3.1255,BaseModel,予測5
2004-05-26,"[5, 8, 9]","[8, 5, 5]",2,はずれ,3.2403,BaseModel,予測1
2004-05-26,"[5, 5, 8]","[8, 5, 5]",2,ボックス,3.4405,BaseModel,予測2
2004-05-26,"[4, 8, 9]","[8, 5, 5]",1,はずれ,3.2781,BaseModel,予測3
2004-05-26,"[0, 1, 2]","[8, 5, 5]",0,はずれ,3.1913,BaseModel,予測4
2004-05-26,"[1, 2, 4]","[8, 5, 5]",0,はずれ,3.1675,BaseModel,予測5
2004-05-28,"[1, 4, 9]","[2, 2, 6]",0,はずれ,3.2144,BaseModel,予測1
2004-05-28,"[0, 2, 3]","[2, 2, 6]",1,はずれ,3.2802,BaseModel,予測2
2004-05-28,"[2, 3, 7]","[2, 2, 6]",1,はずれ,3.1997,BaseModel,予測3
2004-05-28,"[0, 1, 2]","[2, 2, 6]",1,はずれ,3.1913,BaseModel,予測4
2004-05-28,"[1, 3, 7]","[2, 2, 6]",0,はずれ,3.1213,BaseModel,予測5
2004-05-31,"[0, 3, 8]","[6, 7, 3]",1,はずれ,3.1955,BaseModel,予測1
2004-05-31,"[3, 6, 7]","[6, 7, 3]",3,ボックス,3.3845,BaseModel,予測2
2004-05-31,"[0, 3, 5]","[6, 7, 3]",1,はずれ,3.2074,BaseModel,予測3
2004-05-31,"[1, 7, 9]","[6, 7, 3]",1,はずれ,3.1766,BaseModel,予測4
2004-05-31,"[0, 4, 8]","[6, 7, 3]",0,はずれ,3.1465,BaseModel,予測5
2004-06-02,"[5, 8, 9]","[2, 1, 5]",1,はずれ,3.2466,BaseModel,予測1
2004-06-02,"[2, 5, 9]","[2, 1, 5]",2,はずれ,3.2998,BaseModel,予測2
2004-06-02,"[0, 2, 5]","[2, 1, 5]",2,はずれ,3.2375,BaseModel,予測3
2004-06-02,"[2, 3, 4]","[2, 1, 5]",1,はずれ,3.2263,BaseModel,予測4
2004-06-02,"[2, 6, 8]","[2, 1, 5]",1,はずれ,3.1612,BaseModel,予測5
2004-06-04,"[0, 4, 7]","[3, 7, 6]",1,はずれ,3.0849,BaseModel,予測1
2004-06-04,"[3, 6, 7]","[3, 7, 6]",3,ボックス,3.3915,BaseModel,予測2
2004-06-04,"[0, 3, 8]","[3, 7, 6]",1,はずれ,3.2326,BaseModel,予測3
2004-06-04,"[2, 4, 8]","[3, 7, 6]",0,はずれ,3.2032,BaseModel,予測4
2004-06-04,"[0, 1, 3]","[3, 7, 6]",1,はずれ,3.1703,BaseModel,予測5
2004-06-07,"[3, 8, 9]","[5, 5, 4]",0,はずれ,3.2795,BaseModel,予測1
2004-06-07,"[4, 5, 5]","[5, 5, 4]",2,ボックス,3.4286,BaseModel,予測2
2004-06-07,"[0, 2, 5]","[5, 5, 4]",1,はずれ,3.2417,BaseModel,予測3
2004-06-07,"[0, 1, 2]","[5, 5, 4]",0,はずれ,3.1997,BaseModel,予測4
2004-06-07,"[1, 7, 9]","[5, 5, 4]",0,はずれ,3.1654,BaseModel,予測5
2004-06-09,"[1, 2, 8]","[0, 7, 6]",0,はずれ,3.2193,BaseModel,予測1
2004-06-09,"[0, 6, 7]","[0, 7, 6]",3,ボックス,3.3474,BaseModel,予測2
2004-06-09,"[0, 2, 8]","[0, 7, 6]",1,はずれ,3.2277,BaseModel,予測3
2004-06-09,"[3, 7, 9]","[0, 7, 6]",1,はずれ,3.22,BaseModel,予測4
2004-06-09,"[7, 8, 9]","[0, 7, 6]",1,はずれ,3.2102,BaseModel,予測5
2004-06-11,"[1, 2, 5]","[8, 5, 9]",1,はずれ,3.2018,BaseModel,予測1
2004-06-11,"[2, 3, 5]","[8, 5, 9]",1,はずれ,3.2928,BaseModel,予測2
2004-06-11,"[0, 1, 2]","[8, 5, 9]",0,はずれ,3.2018,BaseModel,予測3
2004-06-11,"[1, 2, 4]","[8, 5, 9]",0,はずれ,3.1955,BaseModel,予測4
2004-06-11,"[3, 5, 7]","[8, 5, 9]",1,はずれ,3.1276,BaseModel,予測5
2004-06-14,"[1, 2, 6]","[9, 7, 8]",0,はずれ,3.1577,BaseModel,予測1
2004-06-14,"[7, 8, 9]","[9, 7, 8]",3,ボックス,3.5315,BaseModel,予測2
2004-06-14,"[0, 2, 3]","[9, 7, 8]",0,はずれ,3.2928,BaseModel,予測3
2004-06-14,"[2, 3, 8]","[9, 7, 8]",1,はずれ,3.2585,BaseModel,予測4
2004-06-16,"[0, 4, 5]","[1, 3, 4]",1,はずれ,3.136,BaseModel,予測1
2004-06-16,"[1, 3, 4]","[1, 3, 4]",3,ストレート,3.4776,BaseModel,予測2
2004-06-16,"[1, 2, 3]","[1, 3, 4]",2,はずれ,3.2466,BaseModel,予測3
2004-06-16,"[0, 1, 2]","[1, 3, 4]",1,はずれ,3.2018,BaseModel,予測4
2004-06-16,"[1, 7, 9]","[1, 3, 4]",1,はずれ,3.1738,BaseModel,予測5
2004-06-18,"[2, 5, 6]","[2, 3, 6]",2,はずれ,3.1703,BaseModel,予測1
2004-06-18,"[2, 7, 9]","[2, 3, 6]",1,はずれ,3.2739,BaseModel,予測2
2004-06-18,"[0, 2, 5]","[2, 3, 6]",1,はずれ,3.2501,BaseModel,予測3
2004-06-18,"[3, 4, 5]","[2, 3, 6]",1,はずれ,3.1675,BaseModel,予測4
2004-06-18,"[3, 7, 8]","[2, 3, 6]",1,はずれ,3.1528,BaseModel,予測5
2004-06-21,"[1, 8, 9]","[4, 6, 2]",0,はずれ,3.2529,BaseModel,予測1
2004-06-21,"[2, 4, 6]","[4, 6, 2]",3,ボックス,3.4776,BaseModel,予測2
2004-06-21,"[0, 1, 2]","[4, 6, 2]",1,はずれ,3.206,BaseModel,予測3
2004-06-21,"[0, 1, 3]","[4, 6, 2]",0,はずれ,3.1808,BaseModel,予測4
2004-06-21,"[1, 7, 8]","[4, 6, 2]",0,はずれ,3.0975,BaseModel,予測5
2004-06-23,"[0, 5, 9]","[2, 0, 6]",1,はずれ,3.2424,BaseModel,予測1
2004-06-23,"[2, 3, 8]","[2, 0, 6]",1,はずれ,3.269,BaseModel,予測2
2004-06-23,"[1, 2, 3]","[2, 0, 6]",1,はずれ,3.2571,BaseModel,予測3
2004-06-23,"[3, 7, 9]","[2, 0, 6]",0,はずれ,3.2333,BaseModel,予測4
2004-06-23,"[0, 2, 8]","[2, 0, 6]",2,はずれ,3.22,BaseModel,予測5
2004-06-25,"[1, 3, 4]","[8, 1, 4]",2,はずれ,3.1787,BaseModel,予測1
2004-06-25,"[1, 4, 8]","[8, 1, 4]",3,ボックス,3.4594,BaseModel,予測2
2004-06-25,"[1, 3, 9]","[8, 1, 4]",1,はずれ,3.2627,BaseModel,予測3
2004-06-25,"[2, 4, 8]","[8, 1, 4]",2,はずれ,3.22,BaseModel,予測4
2004-06-25,"[0, 1, 2]","[8, 1, 4]",1,はずれ,3.2123,BaseModel,予測5
2004-06-28,"[2, 3, 6]","[8, 3, 7]",1,はずれ,3.2298,BaseModel,予測1
2004-06-28,"[3, 7, 8]","[8, 3, 7]",3,ボックス,3.4846,BaseModel,予測2
2004-06-28,"[0, 2, 3]","[8, 3, 7]",1,はずれ,3.3061,BaseModel,予測3
2004-06-28,"[3, 8, 9]","[8, 3, 7]",2,はずれ,3.2942,BaseModel,予測4
2004-06-28,"[2, 3, 5]","[8, 3, 7]",1,はずれ,3.2697,BaseModel,予測5
2004-06-30,"[0, 1, 5]","[9, 0, 2]",1,はずれ,3.1381,BaseModel,予測1
2004-06-30,"[0, 2, 9]","[9, 0, 2]",3,ボックス,3.6456,BaseModel,予測2
2004-06-30,"[3, 8, 9]","[9, 0, 2]",1,はずれ,3.2984,BaseModel,予測3
2004-06-30,"[0, 1, 2]","[9, 0, 2]",2,はずれ,3.2144,BaseModel,予測4
2004-06-30,"[0, 4, 8]","[9, 0, 2]",1,はずれ,3.1507,BaseModel,予測5
2004-07-01,"[4, 5, 7]","[5, 9, 7]",2,はずれ,3.1066,BaseModel,予測1
2004-07-01,"[3, 5, 8]","[5, 9, 7]",1,はずれ,3.2543,BaseModel,予測2
2004-07-01,"[1, 5, 9]","[5, 9, 7]",2,はずれ,3.22,BaseModel,予測3
2004-07-01,"[0, 1, 2]","[5, 9, 7]",0,はずれ,3.2193,BaseModel,予測4
2004-07-01,"[1, 2, 4]","[5, 9, 7]",0,はずれ,3.1969,BaseModel,予測5
2004-07-02,"[1, 2, 8]","[6, 7, 0]",0,はずれ,3.2403,BaseModel,予測1
2004-07-02,"[0, 6, 7]","[6, 7, 0]",3,ボックス,3.3733,BaseModel,予測2
2004-07-02,"[2, 3, 8]","[6, 7, 0]",0,はずれ,3.2795,BaseModel,予測3
2004-07-02,"[0, 1, 3]","[6, 7, 0]",1,はずれ,3.1892,BaseModel,予測4
2004-07-02,"[1, 4, 7]","[6, 7, 0]",1,はずれ,3.0828,BaseModel,予測5
2004-07-05,"[2, 4, 5]","[5, 4, 3]",2,はずれ,3.2256,BaseModel,予測1
2004-07-05,"[3, 4, 5]","[5, 4, 3]",3,ボックス,3.5084,BaseModel,予測2
2004-07-05,"[2, 3, 5]","[5, 4, 3]",2,はずれ,3.3124,BaseModel,予測3
2004-07-05,"[2, 4, 8]","[5, 4, 3]",1,はずれ,3.2466,BaseModel,予測4
2004-07-05,"[3, 7, 9]","[5, 4, 3]",1,はずれ,3.2459,BaseModel,予測5
2004-07-06,"[0, 6, 7]","[8, 7, 9]",1,はずれ,3.0786,BaseModel,予測1
2004-07-06,"[1, 2, 9]","[8, 7, 9]",1,はずれ,3.3187,BaseModel,予測2
2004-07-06,"[0, 2, 8]","[8, 7, 9]",1,はずれ,3.2886,BaseModel,予測3
2004-07-06,"[0, 1, 2]","[8, 7, 9]",0,はずれ,3.2214,BaseModel,予測4
2004-07-06,"[0, 7, 9]","[8, 7, 9]",2,ミニ,3.2193,BaseModel,予測5
2004-07-07,"[1, 2, 5]","[3, 4, 2]",1,はずれ,3.2214,BaseModel,予測1
2004-07-07,"[2, 3, 4]","[3, 4, 2]",3,ボックス,3.5966,BaseModel,予測2
2004-07-07,"[0, 2, 3]","[3, 4, 2]",2,はずれ,3.3166,BaseModel,予測3
2004-07-07,"[0, 3, 5]","[3, 4, 2]",1,はずれ,1.7374,BaseModel,予測4
2004-07-08,"[1, 5, 7]","[9, 9, 4]",0,はずれ,3.1108,BaseModel,予測1
2004-07-08,"[2, 8, 9]","[9, 9, 4]",1,はずれ,3.3383,BaseModel,予測2
2004-07-08,"[5, 8, 9]","[9, 9, 4]",1,はずれ,3.2809,BaseModel,予測3
2004-07-08,"[0, 1, 2]","[9, 9, 4]",0,はずれ,3.2235,BaseModel,予測4
2004-07-08,"[1, 5, 8]","[9, 9, 4]",0,はずれ,3.1682,BaseModel,予測5
2004-07-09,"[5, 7, 8]","[7, 6, 5]",2,はずれ,3.1444,BaseModel,予測1
2004-07-09,"[5, 6, 7]","[7, 6, 5]",3,ボックス,3.3824,BaseModel,予測2
2004-07-09,"[0, 2, 3]","[7, 6, 5]",0,はずれ,3.3208,BaseModel,予測3
2004-07-09,"[0, 3, 8]","[7, 6, 5]",0,はずれ,3.2298,BaseModel,予測4
2004-07-09,"[0, 1, 3]","[7, 6, 5]",0,はずれ,3.1955,BaseModel,予測5
2004-07-12,"[2, 3, 9]","[0, 1, 8]",0,はずれ,3.3887,BaseModel,予測1
2004-07-12,"[0, 1, 8]","[0, 1, 8]",3,ストレート,3.4776,BaseModel,予測2
2004-07-12,"[1, 3, 9]","[0, 1, 8]",1,はずれ,3.2998,BaseModel,予測3
2004-07-12,"[0, 2, 3]","[0, 1, 8]",1,はずれ,3.2851,BaseModel,予測4
2004-07-12,"[1, 3, 8]","[0, 1, 8]",2,はずれ,3.2172,BaseModel,予測5
2004-07-13,"[2, 5, 7]","[8, 2, 1]",1,はずれ,3.2039,BaseModel,予測1
2004-07-13,"[1, 2, 8]","[8, 2, 1]",3,ボックス,3.5665,BaseModel,予測2
2004-07-13,"[3, 4, 9]","[8, 2, 1]",0,はずれ,3.2942,BaseModel,予測3
2004-07-13,"[2, 3, 4]","[8, 2, 1]",1,はずれ,3.2851,BaseModel,予測4
2004-07-13,"[6, 8, 9]","[8, 2, 1]",1,はずれ,3.2284,BaseModel,予測5
2004-07-14,"[0, 5, 9]","[4, 9, 8]",1,はずれ,3.2676,BaseModel,予測1
2004-07-14,"[4, 8, 9]","[4, 9, 8]",3,ボックス,3.6106,BaseModel,予測2
2004-07-14,"[0, 1, 2]","[4, 9, 8]",0,はずれ,3.2319,BaseModel,予測3
2004-07-14,"[3, 4, 5]","[4, 9, 8]",1,はずれ,3.2102,BaseModel,予測4
2004-07-14,"[3, 5, 7]","[4, 9, 8]",0,はずれ,3.1766,BaseModel,予測5
2004-07-15,"[5, 6, 7]","[6, 3, 2]",1,はずれ,3.087,BaseModel,予測1
2004-07-15,"[2, 3, 6]","[6, 3, 2]",3,ボックス,3.5644,BaseModel,予測2
2004-07-15,"[0, 2, 3]","[6, 3, 2]",2,はずれ,3.325,BaseModel,予測3
2004-07-15,"[0, 3, 5]","[6, 3, 2]",1,はずれ,3.2123,BaseModel,予測4
2004-07-15,"[5, 7, 8]","[6, 3, 2]",0,はずれ,3.1381,BaseModel,予測5
2004-07-16,"[1, 8, 9]","[2, 4, 0]",0,はずれ,3.2851,BaseModel,予測1
2004-07-16,"[0, 1, 9]","[2, 4, 0]",1,はずれ,3.2592,BaseModel,予測2
2004-07-16,"[0, 1, 2]","[2, 4, 0]",2,はずれ,3.234,BaseModel,予測3
2004-07-16,"[0, 4, 8]","[2, 4, 0]",2,はずれ,3.2263,BaseModel,予測4
2004-07-16,"[1, 4, 8]","[2, 4, 0]",1,はずれ,3.1808,BaseModel,予測5
2004-07-19,"[1, 3, 6]","[5, 6, 2]",1,はずれ,3.164,BaseModel,予測1
2004-07-19,"[2, 5, 6]","[5, 6, 2]",3,ボックス,3.5196,BaseModel,予測2
2004-07-19,"[3, 8, 9]","[5, 6, 2]",0,はずれ,3.381,BaseModel,予測3
2004-07-19,"[2, 5, 9]","[5, 6, 2]",2,はずれ,3.332,BaseModel,予測4
2004-07-19,"[6, 8, 9]","[5, 6, 2]",1,はずれ,3.255,BaseModel,予測5
2004-07-20,"[0, 4, 7]","[9, 3, 1]",0,はずれ,3.1339,BaseModel,予測1
2004-07-20,"[1, 3, 9]","[9, 3, 1]",3,ボックス,3.6316,BaseModel,予測2
2004-07-20,"[0, 3, 4]","[9, 3, 1]",1,はずれ,3.2543,BaseModel,予測3
2004-07-20,"[1, 2, 8]","[9, 3, 1]",1,はずれ,3.2459,BaseModel,予測4
2004-07-20,"[0, 1, 3]","[9, 3, 1]",2,はずれ,3.206,BaseModel,予測5
2004-07-21,"[0, 6, 7]","[5, 9, 0]",1,はずれ,3.094,BaseModel,予測1
2004-07-21,"[0, 5, 9]","[5, 9, 0]",3,ボックス,3.5966,BaseModel,予測2
2004-07-21,"[0, 1, 2]","[5, 9, 0]",1,はずれ,3.2424,BaseModel,予測3
2004-07-21,"[2, 6, 8]","[5, 9, 0]",0,はずれ,3.2361,BaseModel,予測4
2004-07-21,"[1, 4, 8]","[5, 9, 0]",0,はずれ,3.1675,BaseModel,予測5
2004-07-22,"[2, 3, 4]","[0, 7, 8]",0,はずれ,3.3019,BaseModel,予測1
2004-07-22,"[2, 4, 9]","[0, 7, 8]",0,はずれ,3.3404,BaseModel,予測2
2004-07-22,"[4, 5, 9]","[0, 7, 8]",0,はずれ,3.2627,BaseModel,予測3
2004-07-22,"[3, 4, 8]","[0, 7, 8]",1,はずれ,3.2445,BaseModel,予測4
2004-07-22,"[2, 4, 6]","[0, 7, 8]",0,はずれ,3.2123,BaseModel,予測5
2004-07-23,"[3, 6, 9]","[9, 9, 8]",1,はずれ,3.2872,BaseModel,予測1
2004-07-23,"[2, 3, 5]","[9, 9, 8]",0,はずれ,3.3404,BaseModel,予測2
2004-07-23,"[2, 4, 9]","[9, 9, 8]",1,はずれ,3.3404,BaseModel,予測3
2004-07-23,"[2, 3, 6]","[9, 9, 8]",0,はずれ,3.2438,BaseModel,予測4
2004-07-23,"[1, 2, 4]","[9, 9, 8]",0,はずれ,3.2424,BaseModel,予測5
2004-07-26,"[0, 1, 2]","[8, 8, 3]",0,はずれ,3.2466,BaseModel,予測1
2004-07-26,"[3, 8, 8]","[8, 8, 3]",2,ボックス,3.5966,BaseModel,予測2
2004-07-26,"[2, 8, 9]","[8, 8, 3]",1,はずれ,3.3726,BaseModel,予測3
2004-07-26,"[5, 8, 9]","[8, 8, 3]",1,はずれ,3.2942,BaseModel,予測4
2004-07-26,"[1, 3, 7]","[8, 8, 3]",1,はずれ,3.1745,BaseModel,予測5
2004-07-27,"[0, 4, 7]","[1, 6, 6]",0,はずれ,3.1402,BaseModel,予測1
2004-07-27,"[1, 6, 6]","[1, 6, 6]",2,ストレート,3.3824,BaseModel,予測2
2004-07-27,"[1, 5, 9]","[1, 6, 6]",1,はずれ,3.2739,BaseModel,予測3
2004-07-27,"[1, 4, 9]","[1, 6, 6]",1,はずれ,3.2543,BaseModel,予測4
2004-07-27,"[0, 7, 9]","[1, 6, 6]",0,はずれ,3.2508,BaseModel,予測5
2004-07-28,"[3, 8, 9]","[9, 7, 3]",2,はずれ,3.3656,BaseModel,予測1
2004-07-28,"[3, 7, 9]","[9, 7, 3]",3,ボックス,3.6197,BaseModel,予測2
2004-07-28,"[0, 2, 3]","[9, 7, 3]",1,はずれ,3.3446,BaseModel,予測3
2004-07-28,"[0, 3, 9]","[9, 7, 3]",2,はずれ,3.3194,BaseModel,予測4
2004-07-28,"[0, 1, 2]","[9, 7, 3]",0,はずれ,3.2487,BaseModel,予測5
2004-07-29,"[2, 4, 5]","[1, 0, 9]",0,はずれ,3.255,BaseModel,予測1
2004-07-29,"[0, 1, 9]","[1, 0, 9]",3,ボックス,3.6015,BaseModel,予測2
2004-07-29,"[2, 3, 8]","[1, 0, 9]",0,はずれ,3.3194,BaseModel,予測3
2004-07-29,"[1, 8, 9]","[1, 0, 9]",2,はずれ,3.29,BaseModel,予測4
2004-07-29,"[1, 2, 6]","[1, 0, 9]",1,はずれ,3.2081,BaseModel,予測5
2004-07-30,"[3, 5, 6]","[2, 2, 3]",1,はずれ,3.1913,BaseModel,予測1
2004-07-30,"[2, 3, 5]","[2, 2, 3]",2,はずれ,3.3446,BaseModel,予測2
2004-07-30,"[1, 3, 9]","[2, 2, 3]",1,はずれ,3.3152,BaseModel,予測3
2004-07-30,"[2, 5, 8]","[2, 2, 3]",1,はずれ,3.269,BaseModel,予測4
2004-07-30,"[2, 4, 8]","[2, 2, 3]",1,はずれ,3.2669,BaseModel,予測5
2004-08-02,"[5, 8, 9]","[2, 8, 6]",1,はずれ,3.3208,BaseModel,予測1
2004-08-02,"[2, 6, 8]","[2, 8, 6]",3,ボックス,3.5714,BaseModel,予測2
2004-08-02,"[0, 1, 2]","[2, 8, 6]",1,はずれ,3.2571,BaseModel,予測3
2004-08-02,"[4, 6, 9]","[2, 8, 6]",1,はずれ,3.2508,BaseModel,予測4
