抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
1995-01-31,"[3, 4, 8]","[5, 5, 8]",1,はずれ,0.9393,BaseModel,予測5
1995-02-03,"[0, 3, 4]","[9, 5, 1]",0,はずれ,0.9394,BaseModel,予測1
1995-02-03,"[1, 5, 9]","[9, 5, 1]",3,ボックス,1.0072,BaseModel,予測2
1995-02-03,"[1, 2, 4]","[9, 5, 1]",1,はずれ,0.9479,BaseModel,予測3
1995-02-03,"[1, 4, 9]","[9, 5, 1]",2,はずれ,0.94,BaseModel,予測4
1995-02-03,"[6, 7, 9]","[9, 5, 1]",1,はずれ,0.9393,BaseModel,予測5
1995-02-07,"[0, 3, 4]","[9, 1, 2]",0,はずれ,0.9394,BaseModel,予測1
1995-02-07,"[1, 2, 9]","[9, 1, 2]",3,ボックス,1.0092,BaseModel,予測2
1995-02-07,"[2, 4, 7]","[9, 1, 2]",1,はずれ,0.9478,BaseModel,予測3
1995-02-07,"[0, 4, 8]","[9, 1, 2]",0,はずれ,0.9394,BaseModel,予測4
1995-02-07,"[2, 7, 9]","[9, 1, 2]",2,はずれ,0.9362,BaseModel,予測5
1995-02-10,"[4, 5, 7]","[0, 3, 9]",0,はずれ,0.9468,BaseModel,予測1
1995-02-10,"[0, 1, 2]","[0, 3, 9]",1,はずれ,0.9403,BaseModel,予測2
1995-02-10,"[0, 4, 8]","[0, 3, 9]",1,はずれ,0.9394,BaseModel,予測3
1995-02-10,"[5, 6, 7]","[0, 3, 9]",0,はずれ,0.9392,BaseModel,予測4
1995-02-10,"[0, 4, 7]","[0, 3, 9]",1,はずれ,0.9353,BaseModel,予測5
1995-02-14,"[2, 5, 8]","[4, 5, 8]",2,ミニ,0.9402,BaseModel,予測1
1995-02-14,"[1, 2, 4]","[4, 5, 8]",1,はずれ,0.9482,BaseModel,予測2
1995-02-14,"[5, 7, 8]","[4, 5, 8]",2,はずれ,0.9396,BaseModel,予測3
1995-02-14,"[1, 6, 7]","[4, 5, 8]",0,はずれ,0.9393,BaseModel,予測4
1995-02-14,"[1, 7, 9]","[4, 5, 8]",0,はずれ,0.9362,BaseModel,予測5
1995-02-17,"[1, 2, 9]","[9, 8, 4]",1,はずれ,0.9487,BaseModel,予測1
1995-02-17,"[4, 8, 9]","[9, 8, 4]",3,ボックス,1.0082,BaseModel,予測2
1995-02-17,"[1, 3, 9]","[9, 8, 4]",1,はずれ,0.9404,BaseModel,予測3
1995-02-17,"[0, 1, 2]","[9, 8, 4]",0,はずれ,0.9404,BaseModel,予測4
1995-02-17,"[0, 1, 3]","[9, 8, 4]",0,はずれ,0.9398,BaseModel,予測5
1995-02-21,"[1, 7, 9]","[9, 1, 7]",3,ボックス,1.0084,BaseModel,予測1
1995-02-21,"[1, 2, 5]","[9, 1, 7]",1,はずれ,0.9484,BaseModel,予測2
1995-02-21,"[2, 5, 7]","[9, 1, 7]",1,はずれ,0.9404,BaseModel,予測3
1995-02-21,"[0, 1, 2]","[9, 1, 7]",1,はずれ,0.9404,BaseModel,予測4
1995-02-21,"[0, 2, 3]","[9, 1, 7]",0,はずれ,0.9401,BaseModel,予測5
1995-02-24,"[0, 1, 5]","[7, 8, 9]",0,はずれ,0.936,BaseModel,予測1
1995-02-24,"[7, 8, 9]","[7, 8, 9]",3,ストレート,1.0084,BaseModel,予測2
1995-02-24,"[2, 4, 5]","[7, 8, 9]",0,はずれ,0.9484,BaseModel,予測3
1995-02-24,"[0, 1, 2]","[7, 8, 9]",0,はずれ,0.9405,BaseModel,予測4
1995-02-24,"[3, 5, 6]","[7, 8, 9]",0,はずれ,0.9393,BaseModel,予測5
1995-02-28,"[0, 2, 5]","[5, 8, 9]",1,はずれ,0.9362,BaseModel,予測1
1995-02-28,"[5, 8, 9]","[5, 8, 9]",3,ストレート,1.0102,BaseModel,予測2
1995-02-28,"[1, 2, 4]","[5, 8, 9]",0,はずれ,0.9485,BaseModel,予測3
1995-02-28,"[0, 1, 2]","[5, 8, 9]",0,はずれ,0.9405,BaseModel,予測4
1995-02-28,"[3, 5, 6]","[5, 8, 9]",1,はずれ,0.9393,BaseModel,予測5
1995-03-03,"[2, 3, 6]","[7, 2, 5]",1,はずれ,0.9396,BaseModel,予測1
1995-03-03,"[2, 5, 7]","[7, 2, 5]",3,ボックス,1.0093,BaseModel,予測2
1995-03-03,"[1, 2, 4]","[7, 2, 5]",1,はずれ,0.9485,BaseModel,予測3
1995-03-03,"[0, 4, 7]","[7, 2, 5]",1,はずれ,0.94,BaseModel,予測4
1995-03-03,"[1, 5, 7]","[7, 2, 5]",2,はずれ,0.9363,BaseModel,予測5
